iter	Passed	Remaining
0	4	4668
1	8	4423
2	12	4239
3	16	4057
4	19	3953
5	23	3851
6	26	3786
7	29	3716
8	33	3665
9	36	3631
10	40	3597
11	43	3591
12	47	3573
13	50	3564
14	54	3555
15	57	3551
16	61	3548
17	65	3547
18	68	3536
19	72	3532
20	75	3527
21	79	3522
22	82	3509
23	86	3499
24	89	3496
25	93	3489
26	96	3485
27	100	3474
28	103	3463
29	106	3456
30	110	3447
31	113	3440
32	117	3433
33	120	3433
34	124	3435
35	128	3435
36	132	3440
37	135	3439
38	139	3437
39	143	3435
40	146	3434
41	150	3437
42	154	3436
43	158	3435
44	161	3432
45	165	3430
46	169	3428
47	172	3422
48	176	3423
49	179	3419
50	183	3413
51	187	3409
52	190	3407
53	194	3405
54	198	3402
55	201	3399
56	205	3394
57	208	3390
58	212	3386
59	215	3383
60	219	3378
61	222	3366
62	225	3356
63	228	3346
64	232	3338
65	235	3329
66	238	3320
67	241	3313
68	245	3310
69	248	3307
70	252	3304
71	255	3297
72	259	3291
73	262	3287
74	265	3278
75	269	3272
76	272	3266
77	275	3258
78	279	3252
79	282	3246
80	285	3241
81	289	3238
82	292	3230
83	295	3223
84	298	3216
85	302	3210
86	305	3205
87	308	3198
88	312	3195
89	315	3189
90	318	3182
91	323	3190
92	326	3185
93	329	3179
94	333	3172
95	336	3167
96	339	3163
97	343	3157
98	346	3150
99	349	3144
100	354	3152
101	357	3147
102	360	3141
103	363	3135
104	367	3133
105	370	3127
106	374	3122
107	377	3117
108	380	3112
109	383	3106
110	387	3102
111	391	3101
112	395	3101
113	398	3097
114	403	3107
115	407	3104
116	410	3099
117	413	3093
118	417	3089
119	421	3087
120	424	3084
121	428	3081
122	431	3076
123	434	3071
124	437	3065
125	441	3060
126	444	3055
127	447	3050
128	451	3046
129	454	3041
130	457	3037
131	461	3031
132	464	3026
133	467	3021
134	470	3017
135	474	3014
136	477	3010
137	481	3006
138	484	3002
139	488	2999
140	491	2996
141	494	2990
142	498	2987
143	501	2982
144	505	2977
145	508	2972
146	511	2968
147	514	2963
148	518	2959
149	521	2955
150	524	2951
151	528	2946
152	531	2941
153	534	2937
154	538	2933
155	541	2929
156	544	2924
157	547	2919
158	551	2915
159	554	2911
160	557	2906
161	560	2901
162	564	2897
163	567	2893
164	570	2889
165	574	2884
166	577	2880
167	580	2875
168	584	2871
169	587	2867
170	590	2863
171	593	2858
